unix,date,symbol,open,high,low,close,Volume DASH,Volume USD
1526364000,2018-05-15 06:00:00,DASH/USD,439.2,446.91,439.0,444.31,153350.13,344.86
1526367600,2018-05-15 07:00:00,DASH/USD,444.31,446.2,441.35,443.86,105498.21,237.51
1526371200,2018-05-15 08:00:00,DASH/USD,443.86,445.21,434.3,441.97,461555.28,1045.89
1526374800,2018-05-15 09:00:00,DASH/USD,441.97,445.02,439.3,439.32,85550.11,193.22
1526378400,2018-05-15 10:00:00,DASH/USD,439.32,454.38,438.87,450.06,494986.32,1102.55
1526382000,2018-05-15 11:00:00,DASH/USD,450.06,454.23,450.01,452.1,277334.87,613.28
1526385600,2018-05-15 12:00:00,DASH/USD,452.1,452.1,442.35,443.91,353914.4,794.38
1526389200,2018-05-15 13:00:00,DASH/USD,443.91,444.63,435.86,438.42,190739.29,434.82
1526392800,2018-05-15 14:00:00,DASH/USD,438.42,443.67,423.01,424.81,575016.01,1332.72
1526396400,2018-05-15 15:00:00,DASH/USD,424.81,427.29,423.03,424.13,69691.4,164.01
1526400000,2018-05-15 16:00:00,DASH/USD,424.13,432.82,424.13,429.69,77476.66,179.98
1526403600,2018-05-15 17:00:00,DASH/USD,429.69,430.62,423.69,428.95,223071.08,520.69
1526407200,2018-05-15 18:00:00,DASH/USD,428.95,428.95,424.26,424.6,80747.8,189.62
1526410800,2018-05-15 19:00:00,DASH/USD,424.6,427.12,420.1,426.16,204330.85,482.74
1526414400,2018-05-15 20:00:00,DASH/USD,426.16,427.57,422.69,425.92,49940.31,117.41
1526418000,2018-05-15 21:00:00,DASH/USD,425.92,428.07,423.33,423.33,29645.01,69.56
1526421600,2018-05-15 22:00:00,DASH/USD,423.33,431.6,422.06,431.6,211904.56,496.87
1526425200,2018-05-15 23:00:00,DASH/USD,431.6,435.64,426.03,426.3,238036.02,551.32
1526428800,2018-05-16 00:00:00,DASH/USD,426.3,426.47,412.04,412.51,228916.1,544.35
1526432400,2018-05-16 01:00:00,DASH/USD,412.51,413.24,404.0,405.86,165940.09,406.39
1526436000,2018-05-16 02:00:00,DASH/USD,405.86,407.12,393.62,393.62,707833.73,1778.77
1526439600,2018-05-16 03:00:00,DASH/USD,393.62,400.87,393.62,396.94,203208.57,511.18
1526443200,2018-05-16 04:00:00,DASH/USD,396.94,404.09,396.13,402.24,295492.53,738.42
1526446800,2018-05-16 05:00:00,DASH/USD,402.24,402.24,397.38,400.19,149446.5,374.3
1526450400,2018-05-16 06:00:00,DASH/USD,400.19,402.07,398.84,400.39,156864.55,391.51
1526454000,2018-05-16 07:00:00,DASH/USD,400.39,402.4,399.03,400.85,210683.83,526.29
1526457600,2018-05-16 08:00:00,DASH/USD,400.85,402.05,399.0,399.0,75735.71,188.93
1526461200,2018-05-16 09:00:00,DASH/USD,399.0,403.18,398.89,402.79,110923.45,276.7
1526464800,2018-05-16 10:00:00,DASH/USD,402.79,410.79,402.27,408.04,137733.16,337.22
1526468400,2018-05-16 11:00:00,DASH/USD,408.04,416.0,408.04,413.94,86113.94,208.64
1526472000,2018-05-16 12:00:00,DASH/USD,413.94,416.0,409.18,412.72,67414.87,163.25
1526475600,2018-05-16 13:00:00,DASH/USD,412.72,414.09,398.37,399.25,158761.23,391.49
1526479200,2018-05-16 14:00:00,DASH/USD,399.25,403.8,398.94,401.93,48214.55,120.0
1526482800,2018-05-16 15:00:00,DASH/USD,401.93,412.32,401.93,409.82,71453.02,175.28
1526486400,2018-05-16 16:00:00,DASH/USD,409.82,412.96,405.24,407.37,145034.16,355.32
1526490000,2018-05-16 17:00:00,DASH/USD,407.37,410.06,405.17,409.99,29518.28,72.4
1526493600,2018-05-16 18:00:00,DASH/USD,409.99,411.95,407.25,408.6,22506.04,54.9
1526497200,2018-05-16 19:00:00,DASH/USD,408.6,412.68,408.25,410.0,26336.7,64.08
1526500800,2018-05-16 20:00:00,DASH/USD,410.0,410.34,405.72,409.86,49056.74,119.92
1526504400,2018-05-16 21:00:00,DASH/USD,409.86,411.4,407.14,407.71,9519.97,23.2
1526508000,2018-05-16 22:00:00,DASH/USD,407.71,413.1,407.71,410.97,23690.63,57.61
1526511600,2018-05-16 23:00:00,DASH/USD,410.97,413.1,410.87,413.1,28820.91,70.01
1526515200,2018-05-17 00:00:00,DASH/USD,413.1,417.57,413.1,416.55,67779.97,162.95
1526518800,2018-05-17 01:00:00,DASH/USD,416.55,419.21,411.71,414.94,153559.26,369.11
1526522400,2018-05-17 02:00:00,DASH/USD,414.94,417.08,414.1,414.1,73379.13,176.45
1526526000,2018-05-17 03:00:00,DASH/USD,414.1,418.86,412.3,412.32,154521.9,372.18
1526529600,2018-05-17 04:00:00,DASH/USD,412.32,413.28,411.39,411.39,30998.27,75.19
1526533200,2018-05-17 05:00:00,DASH/USD,411.39,411.39,408.41,411.38,62821.57,153.15
1526536800,2018-05-17 06:00:00,DASH/USD,411.38,412.09,409.49,410.3,14885.74,36.21
1526540400,2018-05-17 07:00:00,DASH/USD,410.3,412.05,406.06,406.78,65849.57,161.36
1526544000,2018-05-17 08:00:00,DASH/USD,406.78,411.06,406.78,409.06,39169.81,95.51
1526547600,2018-05-17 09:00:00,DASH/USD,409.06,413.02,408.81,413.02,38994.47,94.76
1526551200,2018-05-17 10:00:00,DASH/USD,413.02,414.68,412.37,413.02,23535.85,56.86
1526554800,2018-05-17 11:00:00,DASH/USD,413.02,415.0,404.16,409.35,590414.39,1439.91
1526558400,2018-05-17 12:00:00,DASH/USD,409.35,409.35,406.1,406.87,69101.36,169.35
1526562000,2018-05-17 13:00:00,DASH/USD,406.87,407.62,405.3,406.21,85847.81,211.29
1526565600,2018-05-17 14:00:00,DASH/USD,406.21,407.26,403.11,404.53,95287.58,235.31
1526569200,2018-05-17 15:00:00,DASH/USD,404.53,404.86,400.28,402.21,116072.04,288.57
1526572800,2018-05-17 16:00:00,DASH/USD,402.21,403.72,400.0,400.89,97695.42,244.03
1526576400,2018-05-17 17:00:00,DASH/USD,400.89,401.9,398.36,400.04,85857.03,214.9
1526580000,2018-05-17 18:00:00,DASH/USD,400.04,400.04,393.03,393.03,42615.66,107.12
1526583600,2018-05-17 19:00:00,DASH/USD,393.03,395.92,393.03,394.7,30808.39,78.03
1526587200,2018-05-17 20:00:00,DASH/USD,394.7,398.85,394.51,395.18,134155.66,338.47
1526590800,2018-05-17 21:00:00,DASH/USD,395.18,396.08,390.01,390.01,59232.83,150.68
1526594400,2018-05-17 22:00:00,DASH/USD,390.01,391.04,383.0,386.66,250893.77,648.06
1526598000,2018-05-17 23:00:00,DASH/USD,386.66,388.49,383.26,386.93,60682.0,157.33
1526601600,2018-05-18 00:00:00,DASH/USD,386.93,386.93,376.7,383.25,482340.83,1266.94
1526605200,2018-05-18 01:00:00,DASH/USD,383.25,388.37,382.23,385.5,242917.01,631.18
1526608800,2018-05-18 02:00:00,DASH/USD,385.5,387.62,382.91,386.03,65456.88,169.66
1526612400,2018-05-18 03:00:00,DASH/USD,386.03,387.1,385.37,386.73,30952.94,80.17
1526616000,2018-05-18 04:00:00,DASH/USD,386.73,386.73,381.3,383.52,90250.1,235.49
1526619600,2018-05-18 05:00:00,DASH/USD,383.52,383.52,380.01,380.4,55638.92,145.89
1526623200,2018-05-18 06:00:00,DASH/USD,380.4,380.4,372.3,373.52,499568.88,1332.33
1526626800,2018-05-18 07:00:00,DASH/USD,373.52,381.34,372.6,380.22,170169.22,451.44
1526630400,2018-05-18 08:00:00,DASH/USD,380.22,387.09,380.22,382.0,62894.36,163.98
1526634000,2018-05-18 09:00:00,DASH/USD,382.0,383.21,380.93,381.5,17434.76,45.57
1526637600,2018-05-18 10:00:00,DASH/USD,381.5,383.81,381.21,383.81,17089.22,44.76
1526641200,2018-05-18 11:00:00,DASH/USD,383.81,384.0,379.53,381.21,37380.23,98.05
1526644800,2018-05-18 12:00:00,DASH/USD,381.21,384.45,379.0,384.25,41006.71,107.64
1526648400,2018-05-18 13:00:00,DASH/USD,384.25,384.73,381.18,382.63,75394.33,196.74
1526652000,2018-05-18 14:00:00,DASH/USD,382.63,386.2,382.57,384.92,48820.02,127.0
1526655600,2018-05-18 15:00:00,DASH/USD,384.92,385.94,379.36,383.29,568680.86,1493.3
1526659200,2018-05-18 16:00:00,DASH/USD,383.29,385.91,381.69,385.91,33407.65,87.13
1526662800,2018-05-18 17:00:00,DASH/USD,385.91,387.69,384.93,385.32,21945.17,56.83
1526666400,2018-05-18 18:00:00,DASH/USD,385.32,391.06,384.01,391.06,74363.79,191.78
1526670000,2018-05-18 19:00:00,DASH/USD,391.06,396.7,390.58,394.46,219168.33,555.13
1526673600,2018-05-18 20:00:00,DASH/USD,394.46,398.19,394.46,394.51,61954.88,156.28
1526677200,2018-05-18 21:00:00,DASH/USD,394.51,394.91,394.46,394.46,61243.38,155.23
1526680800,2018-05-18 22:00:00,DASH/USD,394.46,395.14,394.46,394.46,25485.98,64.58
1526684400,2018-05-18 23:00:00,DASH/USD,394.46,396.7,394.46,394.46,45434.13,114.89
1526688000,2018-05-19 00:00:00,DASH/USD,394.46,395.43,394.46,394.46,94604.26,239.79
1526691600,2018-05-19 01:00:00,DASH/USD,394.46,394.46,393.18,393.19,135213.89,343.82
1526695200,2018-05-19 02:00:00,DASH/USD,393.19,394.23,393.18,393.46,91261.78,232.06
