unix,date,symbol,open,high,low,close,Volume USD,Volume LTC
1526364000,2018-05-15 06:00:00,LTC/USD,147.5,148.82,147.29,147.52,773441.72,5224.04
1526367600,2018-05-15 07:00:00,LTC/USD,147.52,148.2,146.95,147.14,387514.68,2629.62
1526371200,2018-05-15 08:00:00,LTC/USD,147.14,147.15,144.21,145.7,1103678.03,7597.0
1526374800,2018-05-15 09:00:00,LTC/USD,145.7,146.64,145.25,145.78,315106.87,2155.84
1526378400,2018-05-15 10:00:00,LTC/USD,145.78,148.74,144.93,147.5,1685042.19,11482.63
1526382000,2018-05-15 11:00:00,LTC/USD,147.5,148.08,145.8,146.14,391284.1,2665.71
1526385600,2018-05-15 12:00:00,LTC/USD,146.14,146.48,144.9,145.38,764486.49,5248.01
1526389200,2018-05-15 13:00:00,LTC/USD,145.38,145.44,143.86,144.53,1093718.79,7567.06
1526392800,2018-05-15 14:00:00,LTC/USD,144.53,144.53,139.75,139.9,2824665.52,20000.9
1526396400,2018-05-15 15:00:00,LTC/USD,139.9,141.5,138.7,141.03,1958047.21,13936.76
1526400000,2018-05-15 16:00:00,LTC/USD,141.03,141.85,140.01,140.71,446655.88,3167.9
1526403600,2018-05-15 17:00:00,LTC/USD,140.71,141.25,139.64,140.71,465026.79,3310.19
1526407200,2018-05-15 18:00:00,LTC/USD,140.71,140.71,139.06,140.15,777176.58,5560.39
1526410800,2018-05-15 19:00:00,LTC/USD,140.15,140.91,138.8,140.62,526938.78,3764.3
1526414400,2018-05-15 20:00:00,LTC/USD,140.62,140.67,139.64,140.29,358817.27,2559.49
1526418000,2018-05-15 21:00:00,LTC/USD,140.29,140.33,139.69,139.69,206895.77,1477.15
1526421600,2018-05-15 22:00:00,LTC/USD,139.69,140.69,137.37,138.55,1124075.32,8108.8
1526425200,2018-05-15 23:00:00,LTC/USD,138.55,139.89,138.31,139.25,281941.53,2027.46
1526428800,2018-05-16 00:00:00,LTC/USD,139.25,139.74,138.39,139.09,455569.48,3275.13
1526432400,2018-05-16 01:00:00,LTC/USD,139.09,139.17,135.46,136.5,973486.81,7121.86
1526436000,2018-05-16 02:00:00,LTC/USD,136.5,136.81,133.92,134.8,1115687.54,8266.88
1526439600,2018-05-16 03:00:00,LTC/USD,134.8,136.82,134.8,135.7,289601.3,2128.75
1526443200,2018-05-16 04:00:00,LTC/USD,135.7,136.95,135.67,136.3,399943.02,2931.49
1526446800,2018-05-16 05:00:00,LTC/USD,136.3,136.33,134.79,135.33,449265.11,3318.5
1526450400,2018-05-16 06:00:00,LTC/USD,135.33,137.08,135.33,136.68,693299.78,5088.26
1526454000,2018-05-16 07:00:00,LTC/USD,136.68,136.88,135.94,136.26,310941.32,2280.83
1526457600,2018-05-16 08:00:00,LTC/USD,136.26,136.52,135.27,135.62,326507.36,2404.13
1526461200,2018-05-16 09:00:00,LTC/USD,135.62,137.77,135.62,136.79,460444.31,3360.82
1526464800,2018-05-16 10:00:00,LTC/USD,136.79,139.73,136.79,139.05,860305.4,6195.41
1526468400,2018-05-16 11:00:00,LTC/USD,139.05,141.16,138.75,139.5,982000.55,7012.47
1526472000,2018-05-16 12:00:00,LTC/USD,139.5,139.84,138.84,139.02,340361.53,2442.5
1526475600,2018-05-16 13:00:00,LTC/USD,139.02,139.06,135.09,135.7,843487.76,6159.42
1526479200,2018-05-16 14:00:00,LTC/USD,135.7,136.95,135.68,136.69,282335.76,2068.72
1526482800,2018-05-16 15:00:00,LTC/USD,136.69,138.33,136.44,136.95,284872.7,2074.23
1526486400,2018-05-16 16:00:00,LTC/USD,136.95,138.3,136.38,137.19,403755.68,2936.01
1526490000,2018-05-16 17:00:00,LTC/USD,137.19,138.61,136.97,137.62,423967.4,3072.84
1526493600,2018-05-16 18:00:00,LTC/USD,137.62,138.52,137.18,137.31,381563.86,2767.94
1526497200,2018-05-16 19:00:00,LTC/USD,137.31,138.57,137.31,137.54,252430.9,1829.99
1526500800,2018-05-16 20:00:00,LTC/USD,137.54,138.25,136.93,138.0,249719.94,1813.72
1526504400,2018-05-16 21:00:00,LTC/USD,138.0,138.06,137.51,137.51,151706.67,1100.66
1526508000,2018-05-16 22:00:00,LTC/USD,137.51,138.71,137.45,138.03,197710.49,1431.08
1526511600,2018-05-16 23:00:00,LTC/USD,138.03,139.49,138.02,139.17,442631.47,3185.72
1526515200,2018-05-17 00:00:00,LTC/USD,139.17,140.85,139.1,140.04,757524.94,5402.13
1526518800,2018-05-17 01:00:00,LTC/USD,140.04,140.51,138.45,140.1,964295.58,6918.32
1526522400,2018-05-17 02:00:00,LTC/USD,140.1,141.41,140.01,140.32,457698.61,3254.16
1526526000,2018-05-17 03:00:00,LTC/USD,140.32,141.43,139.06,139.58,488932.07,3478.06
1526529600,2018-05-17 04:00:00,LTC/USD,139.58,139.68,138.2,138.2,223784.88,1609.78
1526533200,2018-05-17 05:00:00,LTC/USD,138.2,139.48,137.85,139.13,382006.2,2752.86
1526536800,2018-05-17 06:00:00,LTC/USD,139.13,139.41,138.5,138.74,234266.27,1687.31
1526540400,2018-05-17 07:00:00,LTC/USD,138.74,138.97,137.01,137.08,307052.2,2225.81
1526544000,2018-05-17 08:00:00,LTC/USD,137.08,137.74,137.01,137.18,529796.54,3857.77
1526547600,2018-05-17 09:00:00,LTC/USD,137.18,138.16,137.02,137.9,291950.97,2123.43
1526551200,2018-05-17 10:00:00,LTC/USD,137.9,138.41,137.43,138.35,161408.28,1170.63
1526554800,2018-05-17 11:00:00,LTC/USD,138.35,138.69,137.76,138.0,237230.69,1717.79
1526558400,2018-05-17 12:00:00,LTC/USD,138.0,138.82,137.71,137.84,140536.71,1015.92
1526562000,2018-05-17 13:00:00,LTC/USD,137.84,138.77,137.71,138.71,132795.91,960.45
1526565600,2018-05-17 14:00:00,LTC/USD,138.71,139.83,138.58,139.39,238421.5,1712.42
1526569200,2018-05-17 15:00:00,LTC/USD,139.39,140.31,138.69,138.94,714327.0,5118.15
1526572800,2018-05-17 16:00:00,LTC/USD,138.94,139.07,136.25,137.79,1319494.38,9601.18
1526576400,2018-05-17 17:00:00,LTC/USD,137.79,137.79,136.32,136.87,209176.07,1527.66
1526580000,2018-05-17 18:00:00,LTC/USD,136.87,136.87,134.19,134.26,629803.1,4649.85
1526583600,2018-05-17 19:00:00,LTC/USD,134.26,134.46,133.48,134.35,466883.46,3484.58
1526587200,2018-05-17 20:00:00,LTC/USD,134.35,135.12,134.13,134.71,345246.53,2561.95
1526590800,2018-05-17 21:00:00,LTC/USD,134.71,134.86,133.64,133.7,120434.01,899.02
1526594400,2018-05-17 22:00:00,LTC/USD,133.7,133.7,130.89,132.48,1129281.38,8546.36
1526598000,2018-05-17 23:00:00,LTC/USD,132.48,133.16,131.21,132.43,388191.79,2937.58
1526601600,2018-05-18 00:00:00,LTC/USD,132.43,132.43,128.77,129.57,1071416.85,8248.28
